date,sku_id,actual_units,predicted_units,absolute_error,squared_error
2023-09-24,SKU0148,2.0,2.9947294639817064,0.9947294639817064,0.9894867065133328
2023-09-25,SKU0148,4.0,2.669639812771016,1.330360187228984,1.7698582277639376
2023-09-26,SKU0148,0.0,2.680017722739744,2.680017722739744,7.182494994199123
2023-09-27,SKU0148,2.0,2.4842104866555537,0.48421048665555366,0.2344597953872081
2023-09-28,SKU0148,4.0,2.5530332325597764,1.4469667674402236,2.09371282607641
2023-09-29,SKU0148,6.0,2.664991033880982,3.335008966119018,11.12228480409424
2023-09-30,SKU0148,4.0,2.89470559929244,1.1052944007075598,1.2216757122354838
2023-10-01,SKU0148,1.0,3.430498734087015,2.430498734087015,5.907324096398582
2023-10-02,SKU0148,4.0,3.028553426601522,0.9714465733984778,0.9437084449676442
2023-10-03,SKU0148,4.0,3.1430989112222165,0.8569010887777835,0.7342794759485508
2023-10-04,SKU0148,1.0,3.393766697973968,2.393766697973968,5.730119004329193
2023-10-05,SKU0148,5.0,2.8528351402606096,2.1471648597393904,4.610316934899676
2023-10-06,SKU0148,2.0,2.945456541855787,0.945456541855787,0.8938880725379035
2023-10-07,SKU0148,1.0,2.9176371922690776,1.9176371922690776,3.677332401173631
2023-10-08,SKU0148,4.0,2.9607832943746795,1.0392167056253205,1.0799713612507442
2023-10-09,SKU0148,3.0,3.0787373830110094,0.07873738301100941,0.006199575483422393
2023-10-10,SKU0148,7.0,2.999777177265474,4.000222822734526,16.001782631526176
2023-10-11,SKU0148,6.0,3.569314730713196,2.430685269286804,5.9082308783278625
2023-10-12,SKU0148,9.0,3.43883722477513,5.5611627752248705,30.926531412546783
2023-10-13,SKU0148,4.0,3.877635457552878,0.12236454244712203,0.014973081248293529
2023-10-14,SKU0148,3.0,3.844375400315638,0.8443754003156378,0.7129698166581937
2023-10-15,SKU0148,3.0,3.9453797613754644,0.9453797613754644,0.89374289321833
2023-10-16,SKU0148,7.0,4.11280141369719,2.8871985863028096,8.335915676748941
2023-10-17,SKU0148,6.0,4.8761216584901765,1.1238783415098235,1.2631025265148714
2023-10-18,SKU0148,6.0,4.732691488976477,1.267308511023523,1.6060708621126587
2023-10-19,SKU0148,3.0,4.438707047216642,1.438707047216642,2.069877967710829
2023-10-20,SKU0148,1.0,4.4766060469807885,3.4766060469807885,12.086789605903384
2023-10-21,SKU0148,2.0,4.424427728517371,2.4244277285173714,5.877849810803902
2023-10-22,SKU0148,0.0,4.048350891343746,4.048350891343746,16.3891449394437
2023-10-23,SKU0148,9.0,4.062888075653745,4.937111924346255,24.375074153521986
