sku_id,inventory_units,forecast_8w_units,average_weekly_demand,peak_weekly_demand,forecast_std,days_of_cover,weeks_of_cover,stockout_gap_units,excess_inventory_units,stockout_probability_score,stockout_score,overstock_score,risk_score,stockout_risk,overstock_risk,risk_level,safety_stock_units,target_inventory_units,recommended_replenishment_units,inventory_value,excess_inventory_value,recommended_action,minimum_weekly_demand,snapshot_date,on_order_units,lead_time_days,reorder_point
SKU0001,131,246.26807677996914,30.783509597496142,32.143167870336285,0.9279850748884897,29.78867620976481,4.255525172823544,115.26807677996914,0.0,0.46805935339705695,40,40,40.0,MEDIUM,MEDIUM,MEDIUM,61.567019194992284,307.8350959749614,176.8350959749614,0,0,MONITOR STOCK - consider planned replenishment,29.716372571579743,2023-12-25,0,7.0,33
SKU0002,49,91.25526854370268,11.406908567962835,11.775797052502964,0.18181811324379296,30.06949674018966,4.295642391455666,42.255268543702684,0.0,0.46304470106804174,40,40,40.0,MEDIUM,MEDIUM,MEDIUM,22.81381713592567,114.06908567962836,65.06908567962836,0,0,MONITOR STOCK - consider planned replenishment,11.221992793973572,2023-12-25,0,10.0,22
SKU0003,128,289.7900409026565,36.22375511283206,40.06663285275772,2.1971478676124288,24.735149550594137,3.5335927929420197,161.79004090265647,0.0,0.5583009008822475,70,10,46.0,HIGH,LOW,MEDIUM,72.44751022566412,362.2375511283206,234.2375511283206,0,0,REPLENISH SOON - increase replenishment priority,34.030829312641686,2023-12-25,0,10.0,56
SKU0004,656,1179.9217514684806,147.49021893356007,152.6574846442388,2.5271395758398674,31.13426797521101,4.447752567887287,523.9217514684806,0.0,0.4440309290140891,40,40,40.0,MEDIUM,MEDIUM,MEDIUM,294.98043786712014,1474.9021893356007,818.9021893356007,0,0,MONITOR STOCK - consider planned replenishment,144.81943045081755,2023-12-25,1161,10.0,162
SKU0005,75,83.84694564362292,10.480868205452865,10.757535741485686,0.3083502113513654,50.09127008455837,7.155895726365481,8.846945643622917,0.0,0.10551303420431489,40,40,40.0,MEDIUM,MEDIUM,MEDIUM,20.96173641090573,104.80868205452865,29.808682054528646,0,0,MONITOR STOCK - consider planned replenishment,9.94574233383211,2023-12-25,0,30.0,59
SKU0006,13,111.27075099911421,13.908843874889277,14.84750512872436,0.5896770737212792,6.5425998608187275,0.934657122974104,98.27075099911421,0.0,0.883167859628237,100,10,64.0,VERY HIGH,LOW,HIGH,27.817687749778553,139.08843874889277,126.08843874889277,0,0,URGENT REPLENISHMENT - prioritize purchase/order immediately,13.162245303334306,2023-12-25,129,14.0,27
SKU0007,716,1291.7600453964515,161.47000567455643,170.07601191007268,6.911237930700081,31.039820547858962,4.434260078265566,575.7600453964515,0.0,0.44571749021680424,40,40,40.0,MEDIUM,MEDIUM,MEDIUM,322.94001134911286,1614.7000567455643,898.7000567455643,0,0,MONITOR STOCK - consider planned replenishment,153.2521344366582,2023-12-25,0,21.0,364
SKU0008,184,301.7795582597783,37.72244478247229,47.950603265861936,4.4312408404014665,34.14412844732875,4.877732635332679,117.7795582597783,0.0,0.3902834205834152,40,40,40.0,MEDIUM,MEDIUM,MEDIUM,75.44488956494457,377.22444782472286,193.22444782472286,0,0,MONITOR STOCK - consider planned replenishment,33.6103398682976,2023-12-25,0,14.0,91
SKU0009,27,76.20475264625618,9.525594080782023,9.834499869199696,0.22058556813768676,19.841282170663696,2.834468881523385,49.20475264625618,0.0,0.6456913898095769,70,10,46.0,HIGH,LOW,MEDIUM,19.051188161564045,95.25594080782022,68.25594080782022,0,0,REPLENISH SOON - increase replenishment priority,9.203303614107323,2023-12-25,0,14.0,20
SKU0010,153,291.1940923711579,36.39926154639474,46.45117834365227,4.491884997405617,29.42367384664923,4.2033819780927475,138.19409237115792,0.0,0.47457725273840656,40,40,40.0,MEDIUM,MEDIUM,MEDIUM,72.79852309278948,363.9926154639474,210.9926154639474,0,0,MONITOR STOCK - consider planned replenishment,32.64907486314127,2023-12-25,0,10.0,50
SKU0011,31,78.4909833331944,9.8113729166493,10.296538909383036,0.23707229931874937,22.117190106163864,3.159598586594838,47.49098333319439,0.0,0.6050501766756452,70,10,46.0,HIGH,LOW,MEDIUM,19.6227458332986,98.11372916649299,67.11372916649299,0,0,REPLENISH SOON - increase replenishment priority,9.598206849799642,2023-12-25,0,14.0,20
SKU0012,53,93.49191686934547,11.686489608668184,12.543263924846482,0.4889631079024327,31.74605997380251,4.53515142482893,40.491916869345474,0.0,0.4331060718963837,40,40,40.0,MEDIUM,MEDIUM,MEDIUM,23.37297921733637,116.86489608668184,63.86489608668184,0,0,MONITOR STOCK - consider planned replenishment,11.221992793973572,2023-12-25,104,21.0,31
SKU0013,41,190.55831338582865,23.819789173228582,24.67865350968326,0.7344591608293349,12.048805214555115,1.7212578877935878,149.55831338582865,0.0,0.7848427640258016,100,10,64.0,VERY HIGH,LOW,HIGH,47.639578346457164,238.19789173228583,197.19789173228583,0,0,URGENT REPLENISHMENT - prioritize purchase/order immediately,23.00899263923787,2023-12-25,182,14.0,48
