sku_id,actual_demand,predicted_demand,mean_actual,mean_predicted,mae,rmse,observations,error_percentage
SKU0190,7528.0,7167.035774993422,50.52348993288591,48.10091124156659,11.464972724480983,17.562658493441223,149,22.692360998242115
SKU0185,328.0,324.59398359372557,8.631578947368421,8.541946936676988,2.847065697148417,3.787152023374954,38,32.9842977108658
SKU0188,1487.0,1445.7153098445906,8.645348837209303,8.405321568863899,2.728783134235649,3.7215349729838283,172,31.563597786720354
SKU0184,700.0,697.2046117953693,6.930693069306931,6.903015958369993,2.5852806017581407,3.3066012011409454,101,37.30190582536746
SKU0189,856.0,959.5646014493353,6.43609022556391,7.214771439468687,2.4971583530349566,5.951233557886378,133,38.79930618617398
SKU0196,385.0,386.54250369977433,6.637931034482759,6.664525925858178,2.3500560369054018,2.8738296195292987,58,35.40344159493852
SKU0172,6904.0,6786.789781233304,9.457534246575342,9.29697230305932,2.2420492384650235,4.337062325311274,730,23.706488181915805
SKU0179,4151.0,4152.2182105672255,5.686301369863013,5.687970151461952,2.1507573770930595,2.9449184253936758,730,37.82348555234723
SKU0149,4235.0,4200.690392717102,5.801369863013699,5.754370400982332,2.085689020589923,3.2289346222533553,730,35.951664345469744
SKU0150,4000.0,3956.863194052229,5.47945205479452,5.420360539797574,2.074614260734002,3.3201946716831845,730,37.86171025839554
SKU0170,5136.0,5095.623715892459,7.035616438356165,6.980306460126656,2.0681314749718465,3.8877318893020965,730,29.39517088647679
SKU0162,4553.0,4467.626933177929,6.236986301369863,6.120036894764286,2.058526577874169,3.134543486131366,730,33.0051482944903
SKU0148,447.0,441.34338082526835,4.515151515151516,4.458013947729984,2.0274831405847085,2.5465603175927796,99,44.903989019661324
SKU0171,4308.0,4212.040345554349,5.901369863013699,5.7699182815813,1.9865735256786379,3.10630339358215,730,33.66292186038546
SKU0182,371.0,351.0694259629882,4.168539325842697,3.9446002917189684,1.9539177948028206,2.4788674497924283,89,46.87296057613235
SKU0197,314.0,302.9538778694963,6.038461538461538,5.826036112874929,1.9083088711473484,2.363175388164943,52,31.602567292886025
SKU0169,3807.0,3837.532496064211,5.215068493150685,5.256893830224946,1.8681280244579639,3.595484636620926,730,35.82173516822468
SKU0177,2964.0,2958.655858968088,4.06027397260274,4.0529532314631345,1.839238516264219,2.8131890281456173,730,45.29838450988123
SKU0178,3811.0,3765.160566947326,5.220547945205479,5.157754201297707,1.8374502462268616,2.7327086631510986,730,35.196501698913906
SKU0165,3115.0,3028.116464901207,4.267123287671233,4.148104746440009,1.8257589542729775,2.5024284773694796,730,42.78664644042611
SKU0159,3471.0,3395.2196410804863,4.754794520547946,4.650985809699296,1.8203045275657728,2.550255878513959,730,38.28355820002922
SKU0154,3857.0,3742.6978248338983,5.2835616438356166,5.126983321690272,1.8074167443982336,3.2577080863301364,730,34.208302395921976
SKU0161,3372.0,3300.2764774454777,4.619178082191781,4.520926681432162,1.7770327352281514,2.4232508289146852,730,38.47075613038406
SKU0198,310.0,304.6444705400927,3.9240506329113924,3.856259120760667,1.7700195045491312,2.307430386815838,79,45.10694866431656
SKU0168,4273.0,4153.460892980589,5.853424657534247,5.689672456137793,1.7668085396393822,2.887994434526016,730,30.18418520797447
SKU0183,691.0,680.9498206816461,3.81767955801105,3.762153705423459,1.6748543661055,2.159308526327174,181,43.87100437989805
SKU0187,228.0,226.97090922751204,2.6823529411764704,2.6702459909119063,1.6663231253962345,1.9731225856729262,85,62.12169546433331
SKU0175,3087.0,3022.7184230414014,4.228767123287671,4.140710168549865,1.639509363199847,2.2727038514033056,730,38.770386625717144
SKU0174,3266.0,3184.6623684911815,4.473972602739726,4.3625511897139475,1.6354109770068357,2.443279210211881,730,36.55388895330649
SKU0164,2662.0,2660.2509734997343,3.6465753424657534,3.6441794157530607,1.6226120193446736,2.482892404741666,730,44.49687355828744
SKU0152,3192.0,3218.3443601946296,4.372602739726028,4.408690904376205,1.6083799559378118,2.8532118061594023,730,36.78312555872815
SKU0180,3573.0,3448.2895356383283,4.894520547945206,4.72368429539497,1.5525148324274578,2.645007069967558,730,31.71944661830518
SKU0157,2377.0,2365.5354430420525,3.256164383561644,3.2404595110165104,1.4553655545922404,2.36172303650186,730,44.69570277039695
SKU0186,210.0,196.22685062864494,4.375,4.088059388096769,1.4321290121522585,1.908747552533156,48,32.73437742062305
SKU0176,2077.0,2089.062753898746,2.845205479452055,2.861729799861296,1.4298649144923004,2.002728837987988,730,50.255242541135246
SKU0156,2033.0,1978.280338646533,2.7849315068493152,2.7099730666390864,1.4002327024196024,1.843438831702353,730,50.27889192160894
SKU0199,357.0,353.5031407859872,3.466019417475728,3.4320693280192933,1.4001959323606645,1.7147796386785294,103,40.39780981320685
SKU0192,465.0,502.2506531935074,2.6420454545454546,2.8536968931449285,1.3562598373579895,1.7867638759412532,176,51.333705672044324
SKU0160,2104.0,2081.050082548277,2.882191780821918,2.8507535377373654,1.3521098656010713,1.9006304897830317,730,46.91255712399154
SKU0158,1894.0,1897.552357259688,2.5945205479452054,2.599386790766696,1.3039191371591141,1.8755698648995782,730,50.25665100982858
SKU0200,210.0,199.7963056212835,1.9090909090909092,1.8163300511025773,1.1840782044863587,1.6628604891074745,110,62.02314404452355
SKU0167,1405.0,1433.3446333333898,1.9246575342465753,1.9634857990868353,1.1772489240040758,1.5504774338494736,730,61.16667007280964
SKU0155,1624.0,1681.7612758363389,2.2246575342465755,2.3037825696388206,1.1685284591855876,1.8466681112617407,730,52.526217685066435
SKU0163,1537.0,1511.5936424268345,2.1054794520547944,2.070676222502513,1.1336906292257247,1.5155906405283435,730,53.844772891007096
SKU0173,1343.0,1382.9249269128204,1.8397260273972602,1.894417708099754,1.0908613090376824,1.5713769211452873,730,59.29476959028356
SKU0153,1170.0,1209.4833532084408,1.6027397260273972,1.6568265112444394,1.0485630401040391,1.4185392973725988,730,65.42316404067935
SKU0166,1223.0,1229.2463759875413,1.6753424657534246,1.6838991451884129,1.0462994353148614,1.329571074484134,730,62.45286899262869
SKU0193,242.0,246.8313036650413,1.4846625766871167,1.514302476472646,0.9659156838576805,1.237059700842264,163,65.05961011107517
SKU0181,92.0,85.37040749221572,1.7037037037037037,1.5809334720780688,0.9420285034784414,1.2548631451160612,54,55.29297737808243
SKU0151,885.0,934.8994550934113,1.2123287671232876,1.2806841850594677,0.8822115368205333,1.2082442140547196,730,72.76999117276716
SKU0194,45.0,45.20215943412497,0.8823529411764706,0.8863168516495092,0.8345565928840816,1.0140186850808222,51,94.58308052686259
