sku_id,date,units_sold,revenue,avg_price,promo_days,holiday_days,avg_on_hand_units,avg_on_order_units,category,subcategory,unit_cost,list_price,week_start,year,week_number,month,quarter,promo_ratio,margin
SKU0001,2022-01-02,19.0,64830.100000000006,3418.625,0,0,,,Furnishings,Sofas,2110.16,3425.34,2021-12-27,2022,52,1,1,0.0,24860.835000000003
SKU0001,2022-01-09,28.0,92873.29,3330.847142857143,0,0,233.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-01-03,2022,1,1,1,0.0,34179.240000000005
SKU0001,2022-01-16,30.0,102238.68,3371.4742857142855,0,0,197.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-01-10,2022,2,1,1,0.0,37839.42857142857
SKU0001,2022-01-23,39.0,130405.06999999999,3360.4199999999996,0,0,161.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-01-17,2022,3,1,1,0.0,48760.13999999999
SKU0001,2022-01-30,39.0,130870.28,3340.902857142857,3,1,128.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-01-24,2022,4,1,1,0.42857142857142855,47998.97142857143
SKU0001,2022-02-06,31.0,102793.4,3272.477142857143,0,0,101.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-01-31,2022,5,2,1,0.0,36031.83142857144
SKU0001,2022-02-13,46.0,148163.68,3236.8328571428574,0,0,72.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-02-07,2022,6,2,1,0.0,51826.95142857145
SKU0001,2022-02-20,33.0,106446.38,3276.962857142857,0,0,40.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-02-14,2022,7,2,1,0.0,38504.49428571429
SKU0001,2022-02-27,27.0,91808.37,3376.6042857142857,0,0,193.0,295.0,Furnishings,Sofas,2110.16,3425.34,2022-02-21,2022,8,2,1,0.0,34193.99571428572
SKU0001,2022-03-06,23.0,77095.82,3297.671428571429,0,0,154.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-02-28,2022,9,3,1,0.0,27312.762857142865
SKU0001,2022-03-13,24.0,78970.17,3308.0257142857145,0,0,130.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-03-07,2022,10,3,1,0.0,28748.77714285715
SKU0001,2022-03-20,24.0,79897.12,3322.578571428571,1,1,108.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-03-14,2022,11,3,1,0.14285714285714285,29098.045714285712
SKU0001,2022-03-27,30.0,96317.97,3192.7985714285714,0,0,91.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-03-21,2022,12,3,1,0.0,32479.157142857148
SKU0001,2022-04-03,26.0,87010.22,3383.362857142857,0,0,62.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-03-28,2022,13,4,2,0.0,33103.27428571429
SKU0001,2022-04-10,30.0,96623.97,3235.5,0,0,37.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-04-04,2022,14,4,2,0.0,33760.200000000004
SKU0001,2022-04-17,18.0,59074.06,3292.641428571428,2,2,192.0,345.0,Furnishings,Sofas,2110.16,3425.34,2022-04-11,2022,15,4,2,0.2857142857142857,21284.665714285708
SKU0001,2022-04-24,20.0,69563.77,3449.944285714286,0,0,177.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-04-18,2022,16,4,2,0.0,26795.68571428572
SKU0001,2022-05-01,21.0,68871.06,3318.445714285714,1,0,155.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-04-25,2022,17,5,2,0.14285714285714285,25374.0
SKU0001,2022-05-08,34.0,111315.51000000001,3271.8771428571426,6,0,133.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-05-02,2022,18,5,2,0.8571428571428571,39498.38285714285
SKU0001,2022-05-15,23.0,77019.47,3358.5628571428574,0,0,106.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-05-09,2022,19,5,2,0.0,28713.265714285724
SKU0001,2022-05-22,23.0,75312.08,3294.5814285714287,0,0,78.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-05-16,2022,20,5,2,0.0,27241.69285714286
SKU0001,2022-05-29,29.0,97266.69,3360.8542857142857,0,0,59.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-05-23,2022,21,5,2,0.0,36270.13428571429
SKU0001,2022-06-05,24.0,77268.73,3324.2799999999997,0,0,45.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-05-30,2022,22,6,2,0.0,29138.879999999997
SKU0001,2022-06-12,16.0,53657.37,3294.2342857142858,0,0,34.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-06-06,2022,23,6,2,0.0,18945.188571428575
SKU0001,2022-06-19,23.0,75360.25,3258.212857142857,0,0,271.0,178.0,Furnishings,Sofas,2110.16,3425.34,2022-06-13,2022,24,6,2,0.0,26405.215714285714
SKU0001,2022-06-26,24.0,80676.49,3319.157142857143,0,0,245.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-06-20,2022,25,6,2,0.0,29015.93142857143
SKU0001,2022-07-03,21.0,70467.16,3403.464285714286,0,0,226.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-06-27,2022,26,7,3,0.0,27159.390000000003
SKU0001,2022-07-10,21.0,69114.08,3365.227142857143,0,0,208.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-07-04,2022,27,7,3,0.0,26356.410000000007
SKU0001,2022-07-17,27.0,91245.14,3394.9700000000003,0,0,192.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-07-11,2022,28,7,3,0.0,34689.87000000001
SKU0001,2022-07-24,13.0,43150.369999999995,3298.8942857142856,0,0,176.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-07-18,2022,29,7,3,0.0,15453.545714285716
SKU0001,2022-07-31,15.0,51592.94,3432.2057142857143,0,0,157.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-07-25,2022,30,7,3,0.0,19830.685714285715
SKU0001,2022-08-07,15.0,49837.0,3375.842857142857,0,0,138.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-08-01,2022,31,8,3,0.0,18985.24285714286
SKU0001,2022-08-14,23.0,79687.11,3415.4385714285713,2,0,127.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-08-08,2022,32,8,3,0.2857142857142857,30021.407142857144
SKU0001,2022-08-21,31.0,104829.05,3366.207142857143,2,1,113.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-08-15,2022,33,8,3,0.2857142857142857,38937.46142857144
SKU0001,2022-08-28,14.0,47663.58,3417.3142857142857,0,0,89.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-08-22,2022,34,8,3,0.0,18300.160000000003
SKU0001,2022-09-04,24.0,81876.13,3434.46,0,0,77.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-08-29,2022,35,9,3,0.0,31783.200000000004
SKU0001,2022-09-11,40.0,134050.09,3343.0257142857145,0,0,59.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-09-05,2022,36,9,3,0.0,49314.628571428584
SKU0001,2022-09-18,23.0,77943.54999999999,3324.304285714286,0,0,43.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-09-12,2022,37,9,3,0.0,27925.31857142858
SKU0001,2022-09-25,27.0,92364.51999999999,3425.4857142857145,0,0,13.0,253.0,Furnishings,Sofas,2110.16,3425.34,2022-09-19,2022,38,9,3,0.0,35513.79428571429
SKU0001,2022-10-02,37.0,121359.81,3316.2057142857147,1,1,170.0,303.0,Furnishings,Sofas,2110.16,3425.34,2022-09-26,2022,39,10,4,0.14285714285714285,44623.69142857145
SKU0001,2022-10-09,38.0,126418.24,3331.434285714286,7,1,140.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-10-03,2022,40,10,4,1.0,46408.422857142876
SKU0001,2022-10-16,43.0,146513.96,3420.437142857143,2,0,103.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-10-10,2022,41,10,4,0.2857142857142857,56341.91714285716
SKU0001,2022-10-23,30.0,100841.55,3342.2685714285717,3,0,74.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-10-17,2022,42,10,4,0.42857142857142855,36963.257142857154
SKU0001,2022-10-30,33.0,109047.56,3305.4514285714286,5,1,52.0,0.0,Furnishings,Sofas,2110.16,3425.34,2022-10-24,2022,43,10,4,0.7142857142857143,39444.61714285715
