sku_id,actual_demand,seasonal_naive_wape,model_wape,wape_improvement_pct,model_bias_pct,backtest_rows
SKU0001,1031.0,0.1687681862269641,0.22121822163552401,-31.078153164497284,0.04507231537029361,32
SKU0002,348.0,0.3649425287356322,1.0,-174.01574803149603,-1.0,32
SKU0003,1116.0,0.2114695340501792,1.0,-372.8813559322034,-1.0,32
SKU0004,4459.0,0.22762951334379905,1.0,-339.3103448275862,-1.0,32
SKU0005,361.0,0.4155124653739612,1.0,-140.66666666666669,-1.0,32
SKU0006,387.0,0.35658914728682173,1.0,-180.43478260869566,-1.0,32
SKU0007,4272.0,0.2298689138576779,1.0,-335.030549898167,-1.0,32
SKU0008,1198.0,0.2003338898163606,1.0,-399.1666666666667,-1.0,32
SKU0009,293.0,0.4197952218430034,1.0,-138.21138211382114,-1.0,32
SKU0010,1040.0,0.25384615384615383,1.0,-293.93939393939394,-1.0,32
SKU0011,305.0,0.3737704918032787,1.0,-167.5438596491228,-1.0,32
SKU0012,362.0,0.2541436464088398,1.0,-293.4782608695652,-1.0,32
SKU0013,701.0,0.24679029957203993,1.0,-305.20231213872836,-1.0,32
SKU0014,31.0,1.5806451612903225,1.0,36.73469387755102,-1.0,32
SKU0015,92.0,1.0978260869565217,1.0,8.91089108910891,-1.0,32
SKU0016,295.0,0.535593220338983,1.0,-86.70886075949367,-1.0,32
SKU0017,151.0,0.5562913907284768,1.0,-79.76190476190477,-1.0,32
SKU0018,644.0,0.265527950310559,1.0,-276.60818713450294,-1.0,32
SKU0019,178.0,0.5056179775280899,1.0,-97.77777777777777,-1.0,32
SKU0020,73.0,0.726027397260274,1.0,-37.73584905660377,-1.0,32
SKU0021,3991.0,0.2179904785767978,1.0,-358.735632183908,-1.0,32
SKU0022,365.0,0.3506849315068493,1.0,-185.15625,-1.0,32
SKU0023,594.0,0.3451178451178451,1.0,-189.7560975609756,-1.0,32
SKU0024,59.0,1.0338983050847457,1.0,3.2786885245901556,-1.0,32
SKU0025,251.0,0.2788844621513944,1.0,-258.5714285714286,-1.0,32
SKU0026,672.0,0.2931547619047619,1.0,-241.11675126903555,-1.0,32
SKU0027,71.0,0.9436619718309859,1.0,-5.970149253731347,-1.0,32
SKU0028,705.0,0.32056737588652484,1.0,-211.94690265486722,-1.0,32
SKU0029,298.0,0.39932885906040266,1.0,-150.42016806722688,-1.0,32
SKU0030,386.0,0.33678756476683935,1.0,-196.92307692307693,-1.0,32
SKU0031,297.0,0.3367003367003367,1.0,-196.99999999999997,-1.0,32
SKU0032,4850.0,0.18453608247422681,1.0,-441.89944134078206,-1.0,32
SKU0033,423.0,0.21513002364066194,1.0,-364.83516483516485,-1.0,32
SKU0034,139.0,0.5611510791366906,1.0,-78.20512820512822,-1.0,32
SKU0035,1628.0,0.26842751842751844,1.0,-272.54004576659037,-1.0,32
SKU0036,115.0,0.40869565217391307,1.0,-144.68085106382975,-1.0,32
SKU0037,787.0,0.17153748411689962,1.0,-482.962962962963,-1.0,32
SKU0038,58.0,0.6724137931034483,1.0,-48.717948717948715,-1.0,32
SKU0039,130.0,0.5769230769230769,1.0,-73.33333333333336,-1.0,32
SKU0040,942.0,0.3089171974522293,1.0,-223.71134020618558,-1.0,32
SKU0041,1063.0,0.1561618062088429,1.0,-540.3614457831325,-1.0,32
SKU0042,504.0,0.22420634920634921,1.0,-346.01769911504425,-1.0,32
SKU0043,647.0,0.29675425038639874,1.0,-236.97916666666669,-1.0,32
SKU0044,302.0,0.423841059602649,1.0,-135.93750000000003,-1.0,32
SKU0045,62.0,0.9516129032258065,1.0,-5.08474576271186,-1.0,32
