sku_id,MAE,RMSE
SKU0001,7.769230769230769,9.521231336011438
SKU0002,3.9038461538461537,4.777752931758095
SKU0003,6.298076923076923,8.216423515412005
SKU0004,19.451923076923077,24.735329762538814
SKU0005,3.9038461538461537,4.924428900898052
SKU0006,4.413461538461538,5.296043515972742
SKU0007,22.375,29.913497082292263
SKU0008,6.9326923076923075,8.72716801364919
SKU0009,3.2884615384615383,4.118438837901865
SKU0010,7.375,9.203364769307097
SKU0011,3.3846153846153846,4.372114433015748
SKU0012,2.701923076923077,3.417995363907375
SKU0013,5.730769230769231,7.264243303278791
SKU0014,1.0576923076923077,1.3516371839081214
SKU0015,1.5384615384615385,2.080125735844609
SKU0016,3.019230769230769,3.840572873934304
SKU0017,2.076923076923077,2.885640843369645
SKU0018,5.25,6.783747546100958
SKU0019,2.6634615384615383,3.58549427984054
SKU0020,1.25,1.6698687189301853
SKU0021,20.221153846153847,28.182270749806246
SKU0022,3.644230769230769,4.691440651294161
SKU0023,4.913461538461538,6.394859714585674
SKU0024,1.5865384615384615,1.9733805434408158
SKU0025,3.0096153846153846,3.9601379152363254
SKU0026,5.221153846153846,6.941375390201304
SKU0027,1.7403846153846154,2.355435612169631
SKU0028,5.634615384615385,7.3902222304464305
SKU0029,3.0865384615384617,3.7710945156749713
SKU0030,3.048076923076923,4.205079346182698
SKU0031,3.4038461538461537,4.316782990215675
SKU0032,22.173076923076923,30.156004632321824
SKU0033,4.086538461538462,5.2650882087723705
SKU0034,2.2596153846153846,2.8972798914207045
SKU0035,9.5,12.452216361262453
SKU0036,2.048076923076923,2.712152140048421
SKU0037,5.634615384615385,7.1750100509176455
SKU0038,1.2692307692307692,1.6698687189301853
SKU0039,2.2788461538461537,2.9237094457344632
SKU0040,6.346153846153846,8.0156097709407
SKU0041,6.971153846153846,9.070768774136301
SKU0042,5.096153846153846,6.719661163618754
SKU0043,4.846153846153846,6.380559416033869
SKU0044,3.1923076923076925,4.269750488116282
SKU0045,1.4615384615384615,1.975815313698665
SKU0046,2.2403846153846154,2.7925037015332537
SKU0047,3.1153846153846154,4.090326298813975
SKU0048,13.182692307692308,16.59210887509713
SKU0049,5.75,7.633428506852656
SKU0050,1.4711538461538463,1.8733967504550082
SKU0051,4.730769230769231,6.294075358254349
SKU0052,3.951923076923077,4.864510410972675
SKU0053,2.6826923076923075,3.5504604251799834
SKU0054,7.548076923076923,9.840555800438228
SKU0055,10.60576923076923,14.227884322965672
SKU0056,9.48076923076923,12.171846456222086
SKU0057,2.9326923076923075,3.685992194991528
SKU0058,3.3461538461538463,4.3056313751250865
SKU0059,6.490384615384615,7.986165923260432
SKU0060,12.067307692307692,15.564691303865148
SKU0061,3.144230769230769,3.9819303397685437
SKU0062,4.586538461538462,5.770448589414598
SKU0063,2.326923076923077,3.012793235010175
SKU0064,2.0961538461538463,2.7032743678162428
SKU0065,9.98076923076923,13.064190634060608
SKU0066,10.759615384615385,13.618779455081642
SKU0067,4.163461538461538,5.471077801283062
SKU0068,10.471153846153847,13.326881451816446
SKU0069,5.125,6.7872901582522385
SKU0070,2.8461538461538463,3.5895146447138764
SKU0071,6.9423076923076925,8.32512416169827
SKU0072,11.89423076923077,15.784303303257664
SKU0073,3.4711538461538463,4.511736830841226
SKU0074,15.375,20.7760494504906
SKU0075,0.7884615384615384,1.0830867569483633
SKU0076,7.990384615384615,10.175857552220203
SKU0077,4.528846153846154,5.798706752371601
SKU0078,3.9903846153846154,5.137531583283043
SKU0079,5.673076923076923,7.593012982594337
SKU0080,1.3173076923076923,1.8160608258196977
SKU0081,3.5,4.428925898610702
SKU0082,5.086538461538462,6.681633839805259
SKU0083,13.39423076923077,17.80206340676444
SKU0084,4.6923076923076925,5.840837663844511
SKU0085,2.576923076923077,3.2374016171567637
SKU0086,3.3173076923076925,4.065568367872585
SKU0087,8.548076923076923,10.420486479120754
SKU0088,6.394230769230769,8.26077385088011
SKU0089,3.4038461538461537,4.260733053577301
SKU0090,6.990384615384615,8.873577892563102
SKU0091,4.509615384615385,5.656004297680883
SKU0092,11.846153846153847,16.261682191345017
SKU0093,3.5384615384615383,4.418057352415286
SKU0094,2.8173076923076925,3.724916106437835
SKU0095,2.8653846153846154,3.624170992739634
SKU0096,2.25,2.7838821814150108
SKU0097,4.980769230769231,6.569158709747097
SKU0098,5.923076923076923,7.807787039970958
SKU0099,5.480769230769231,6.876660638599344
SKU0100,4.3173076923076925,5.460522657430119
SKU0101,1.5192307692307692,2.0
SKU0102,3.730769230769231,4.680154501065767
SKU0103,3.7596153846153846,4.8148408392897375
SKU0104,2.605769230769231,3.3093689847043466
SKU0105,3.951923076923077,4.9332077253586695
SKU0106,6.423076923076923,7.869121737721239
SKU0107,21.5,30.20761493398643
SKU0108,3.6826923076923075,4.644061551304816
SKU0109,5.605769230769231,7.64664330580117
