date,sku_id,units_sold,forecast_units,absolute_error
2023-08-18,SKU0001,2.0,2.9947294639817064,0.9947294639817064
2023-08-19,SKU0001,4.0,2.669639812771016,1.330360187228984
2023-08-20,SKU0001,0.0,2.680017722739744,2.680017722739744
2023-08-21,SKU0001,2.0,2.4842104866555537,0.48421048665555366
2023-08-22,SKU0001,4.0,2.5530332325597764,1.4469667674402236
2023-08-23,SKU0001,6.0,2.664991033880982,3.335008966119018
2023-08-24,SKU0001,4.0,2.89470559929244,1.1052944007075598
2023-08-25,SKU0001,1.0,3.430498734087015,2.430498734087015
2023-08-26,SKU0001,4.0,3.028553426601522,0.9714465733984778
2023-08-27,SKU0001,4.0,3.1430989112222165,0.8569010887777835
2023-08-28,SKU0001,1.0,3.393766697973968,2.393766697973968
2023-08-29,SKU0001,5.0,2.8528351402606096,2.1471648597393904
2023-08-30,SKU0001,2.0,2.945456541855787,0.945456541855787
2023-08-31,SKU0001,1.0,2.9176371922690776,1.9176371922690776
2023-09-01,SKU0001,4.0,2.9607832943746795,1.0392167056253205
2023-09-02,SKU0001,3.0,3.0787373830110094,0.07873738301100941
2023-09-03,SKU0001,7.0,2.999777177265474,4.000222822734526
2023-09-04,SKU0001,6.0,3.569314730713196,2.430685269286804
2023-09-05,SKU0001,9.0,3.43883722477513,5.5611627752248705
2023-09-06,SKU0001,4.0,3.877635457552878,0.12236454244712203
2023-09-07,SKU0001,3.0,3.844375400315638,0.8443754003156378
2023-09-08,SKU0001,3.0,3.9453797613754644,0.9453797613754644
2023-09-09,SKU0001,7.0,4.11280141369719,2.8871985863028096
2023-09-10,SKU0001,6.0,4.8761216584901765,1.1238783415098235
2023-09-11,SKU0001,6.0,4.732691488976477,1.267308511023523
2023-09-12,SKU0001,3.0,4.438707047216642,1.438707047216642
2023-09-13,SKU0001,1.0,4.4766060469807885,3.4766060469807885
2023-09-14,SKU0001,2.0,4.424427728517371,2.4244277285173714
2023-09-15,SKU0001,0.0,4.048350891343746,4.048350891343746
2023-09-16,SKU0001,9.0,4.062888075653745,4.937111924346255
2023-09-17,SKU0001,7.0,4.48122191422124,2.5187780857787603
2023-09-18,SKU0001,2.0,4.955400557154021,2.9554005571540207
2023-09-19,SKU0001,1.0,4.03691825555963,3.0369182555596304
2023-09-20,SKU0001,5.0,3.8705154135632367,1.1294845864367633
2023-09-21,SKU0001,4.0,4.050191725947241,0.05019172594724086
2023-09-22,SKU0001,10.0,4.190951740933083,5.809048259066917
2023-09-23,SKU0001,6.0,4.324313854534353,1.6756861454656473
2023-09-24,SKU0001,7.0,4.649421674031363,2.3505783259686366
2023-09-25,SKU0001,6.0,4.488555924233941,1.5114440757660592
2023-09-26,SKU0001,4.0,4.6950934683378,0.6950934683377996
2023-09-27,SKU0001,6.0,4.867020220932427,1.1329797790675729
2023-09-28,SKU0001,8.0,5.775419188704595,2.2245808112954046
2023-09-29,SKU0001,6.0,7.131268965789086,1.1312689657890864
2023-09-30,SKU0001,2.0,6.549017817215098,4.549017817215098
2023-10-01,SKU0001,9.0,6.292460622115324,2.707539377884676
2023-10-02,SKU0001,7.0,6.4220804839484344,0.5779195160515656
2023-10-03,SKU0001,4.0,7.10911949800685,3.1091194980068497
2023-10-04,SKU0001,6.0,7.13351012884803,1.1335101288480303
2023-10-05,SKU0001,4.0,7.6633575063063315,3.6633575063063315
2023-10-06,SKU0001,0.0,7.037925130601268,7.037925130601268
2023-10-07,SKU0001,6.0,6.168099256479717,0.16809925647971724
2023-10-08,SKU0001,4.0,4.73215107212498,0.7321510721249798
2023-10-09,SKU0001,3.0,4.466221016109902,1.4662210161099019
2023-10-10,SKU0001,4.0,4.266587484698636,0.26658748469863625
2023-10-11,SKU0001,4.0,4.127834559858421,0.12783455985842096
2023-10-12,SKU0001,3.0,3.9865690741942372,0.9865690741942372
2023-10-13,SKU0001,3.0,3.8473045428224197,0.8473045428224197
2023-10-14,SKU0001,11.0,3.9932169734223857,7.006783026577614
2023-10-15,SKU0001,8.0,4.082080283237781,3.917919716762219
2023-10-16,SKU0001,3.0,4.33482931245042,1.3348293124504202
2023-10-17,SKU0001,6.0,3.974534012408474,2.025465987591526
2023-10-18,SKU0001,4.0,4.393970143669367,0.39397014366936656
2023-10-19,SKU0001,2.0,4.354782537259081,2.354782537259081
2023-10-20,SKU0001,6.0,4.495579900668037,1.5044200993319627
2023-10-21,SKU0001,4.0,4.463230753753574,0.4632307537535736
2023-10-22,SKU0001,5.0,4.300556809543106,0.6994431904568943
2023-10-23,SKU0001,3.0,4.472724272912319,1.4727242729123189
