sku_id,forecast_date,forecast_units
SKU0001,2024-01-07,32.143167870336285
SKU0001,2024-01-14,30.900248383880715
SKU0001,2024-01-21,31.175310330152097
SKU0001,2024-01-28,31.713528447628715
SKU0001,2024-02-04,31.024051447500455
SKU0001,2024-02-11,29.716372571579743
SKU0001,2024-02-18,29.857134708719336
SKU0001,2024-02-25,29.738263020171782
SKU0002,2024-01-07,11.313011512190279
SKU0002,2024-01-14,11.775797052502964
SKU0002,2024-01-21,11.466234227293269
SKU0002,2024-01-28,11.466234227293269
SKU0002,2024-02-04,11.221992793973572
SKU0002,2024-02-11,11.221992793973572
SKU0002,2024-02-18,11.468484842723909
SKU0002,2024-02-25,11.321521093751844
SKU0003,2024-01-07,40.06663285275772
SKU0003,2024-01-14,37.293821364946005
SKU0003,2024-01-21,37.02515859829066
SKU0003,2024-01-28,37.87383099262707
SKU0003,2024-02-04,35.22592378025215
SKU0003,2024-02-11,34.144871569122124
SKU0003,2024-02-18,34.12897243201905
SKU0003,2024-02-25,34.030829312641686
SKU0004,2024-01-07,144.81943045081755
SKU0004,2024-01-14,145.9254351122973
SKU0004,2024-01-21,147.06925788613978
SKU0004,2024-01-28,148.62849613787654
SKU0004,2024-02-04,148.94421291612932
SKU0004,2024-02-11,152.6574846442388
SKU0004,2024-02-18,146.04227727951846
SKU0004,2024-02-25,145.83515704146276
SKU0005,2024-01-07,10.225470827816618
SKU0005,2024-01-14,10.201799166555505
SKU0005,2024-01-21,10.648163843885682
SKU0005,2024-01-28,10.757535741485686
SKU0005,2024-02-04,10.702880778929382
SKU0005,2024-02-11,10.702880778929382
SKU0005,2024-02-18,10.662472172188547
SKU0005,2024-02-25,9.94574233383211
SKU0006,2024-01-07,13.730637418270867
SKU0006,2024-01-14,14.409715227937136
SKU0006,2024-01-21,14.847505128724361
SKU0006,2024-01-28,14.407808818922536
SKU0006,2024-02-04,13.286436101926535
SKU0006,2024-02-11,13.713201499999235
SKU0006,2024-02-18,13.713201499999235
SKU0006,2024-02-25,13.162245303334306
SKU0007,2024-01-07,153.2521344366582
SKU0007,2024-01-14,154.02823203159332
SKU0007,2024-01-21,156.32180542927523
SKU0007,2024-01-28,157.62353541135784
SKU0007,2024-02-04,166.71270314546277
SKU0007,2024-02-11,169.1326703875016
SKU0007,2024-02-18,170.07601191007268
SKU0007,2024-02-25,164.6129526445299
SKU0008,2024-01-07,36.57156770852721
SKU0008,2024-01-14,33.6103398682976
SKU0008,2024-01-21,47.950603265861936
SKU0008,2024-01-28,37.85305503087588
SKU0008,2024-02-04,37.430882236667436
SKU0008,2024-02-11,37.535554955608276
SKU0008,2024-02-18,36.79313124348809
SKU0008,2024-02-25,34.03442395045184
SKU0009,2024-01-07,9.834499869199695
SKU0009,2024-01-14,9.203303614107323
SKU0009,2024-01-21,9.6496682914375
SKU0009,2024-01-28,9.759040189037506
SKU0009,2024-02-04,9.367835006745745
SKU0009,2024-02-11,9.367835006745745
SKU0009,2024-02-18,9.40824361348658
SKU0009,2024-02-25,9.614327055496082
SKU0010,2024-01-07,34.43033912014291
SKU0010,2024-01-14,32.64907486314127
SKU0010,2024-01-21,33.958064845075604
SKU0010,2024-01-28,39.23422922247762
SKU0010,2024-02-04,46.45117834365227
SKU0010,2024-02-11,34.20551882195271
SKU0010,2024-02-18,34.785705502538455
SKU0010,2024-02-25,35.47998165217708
SKU0011,2024-01-07,9.693191329752697
SKU0011,2024-01-14,9.598206849799642
SKU0011,2024-01-21,9.678473395714631
SKU0011,2024-01-28,10.296538909383036
SKU0011,2024-02-04,9.94574233383211
SKU0011,2024-02-11,9.663976619740367
SKU0011,2024-02-18,9.663976619740367
SKU0011,2024-02-25,9.950877275231539
SKU0012,2024-01-07,12.543263924846482
SKU0012,2024-01-14,11.943106809205014
SKU0012,2024-01-21,11.837167260927385
SKU0012,2024-01-28,12.074251720261557
SKU0012,2024-02-04,11.38774016544349
SKU0012,2024-02-11,11.262401400714406
SKU0012,2024-02-18,11.221992793973572
SKU0012,2024-02-25,11.221992793973572
SKU0013,2024-01-07,24.242282702986568
SKU0013,2024-01-14,24.67865350968326
SKU0013,2024-01-21,24.483709567317096
SKU0013,2024-01-28,24.572227792505767
SKU0013,2024-02-04,23.138806192945466
SKU0013,2024-02-11,23.2649744748869
SKU0013,2024-02-18,23.16866650626574
SKU0013,2024-02-25,23.00899263923787
SKU0014,2024-01-07,2.767504321172704
SKU0014,2024-01-14,2.8076725104466527
SKU0014,2024-01-21,2.623549370080448
SKU0014,2024-01-28,2.652138824360142
SKU0014,2024-02-04,2.372236805063904
SKU0014,2024-02-11,2.2512146535395505
SKU0014,2024-02-18,2.480054154749384
SKU0014,2024-02-25,2.528525715183473
SKU0015,2024-01-07,4.116970240110548
SKU0015,2024-01-14,4.544876604018314
SKU0015,2024-01-21,4.265697589269401
SKU0015,2024-01-28,4.669742694891719
SKU0015,2024-02-04,4.070087220228511
SKU0015,2024-02-11,4.286526269441421
SKU0015,2024-02-18,4.286526269441421
SKU0015,2024-02-25,4.286526269441421
SKU0016,2024-01-07,9.805694764922563
SKU0016,2024-01-14,9.891395001261456
SKU0016,2024-01-21,10.055181802032129
SKU0016,2024-01-28,9.759040189037506
SKU0016,2024-02-04,9.94574233383211
SKU0016,2024-02-11,9.905333727091275
SKU0016,2024-02-18,10.662472172188547
SKU0016,2024-02-25,10.439633275895002
SKU0017,2024-01-07,5.5875513662377765
SKU0017,2024-01-14,5.563879704976663
SKU0017,2024-01-21,5.981901479512631
SKU0017,2024-01-28,6.568249274722396
SKU0017,2024-02-04,5.936318833556907
SKU0017,2024-02-11,5.971231671750421
SKU0017,2024-02-18,6.072845375960709
SKU0017,2024-02-25,6.037932537767194
SKU0018,2024-01-07,22.820551866129353
SKU0018,2024-01-14,23.30474779369794
SKU0018,2024-01-21,23.17239298147399
SKU0018,2024-01-28,23.405875534396355
SKU0018,2024-02-04,22.813362223329904
SKU0018,2024-02-11,22.77295361658907
SKU0018,2024-02-18,22.643140062881475
SKU0018,2024-02-25,22.643140062881475
SKU0019,2024-01-07,4.962566042953559
SKU0019,2024-01-14,5.954981414187491
SKU0019,2024-01-21,5.695834277174068
SKU0019,2024-01-28,5.980030725161682
SKU0019,2024-02-04,5.602683315402313
SKU0019,2024-02-11,5.97996691169861
SKU0019,2024-02-18,5.971231671750421
SKU0019,2024-02-25,5.9776028766558005
SKU0020,2024-01-07,3.1231888440065583
SKU0020,2024-01-14,3.41232798364232
SKU0020,2024-01-21,3.4908481993008937
SKU0020,2024-01-28,3.3625444530534407
SKU0020,2024-02-04,3.020109881487586
SKU0020,2024-02-11,3.020109881487586
SKU0020,2024-02-18,2.937538599852516
SKU0020,2024-02-25,2.7735864245330895
SKU0021,2024-01-07,135.35369563477488
SKU0021,2024-01-14,127.24433589799399
SKU0021,2024-01-21,121.84178516064189
SKU0021,2024-01-28,122.28409758024142
SKU0021,2024-02-04,124.61063546767245
SKU0021,2024-02-11,126.52548801154548
SKU0021,2024-02-18,126.60802401394096
SKU0021,2024-02-25,126.82561718469871
SKU0022,2024-01-07,12.392471175807055
SKU0022,2024-01-14,12.206606532485507
SKU0022,2024-01-21,12.074251720261557
SKU0022,2024-01-28,12.074251720261557
SKU0022,2024-02-04,11.221992793973572
SKU0022,2024-02-11,11.38774016544349
SKU0022,2024-02-18,11.428148772184326
SKU0022,2024-02-25,11.221992793973572
SKU0023,2024-01-07,18.433416846058112
SKU0023,2024-01-14,19.02365673507109
SKU0023,2024-01-21,18.89130192284714
SKU0023,2024-01-28,18.89130192284714
SKU0023,2024-02-04,18.5555322657995
SKU0023,2024-02-11,18.595940872540332
SKU0023,2024-02-18,25.375986820719117
SKU0023,2024-02-25,18.887405866391276
SKU0024,2024-01-07,2.773298930947344
SKU0024,2024-01-14,2.82352759844707
SKU0024,2024-01-21,2.7860555810112637
SKU0024,2024-01-28,2.8709602867493267
SKU0024,2024-02-04,2.7399121708153746
SKU0024,2024-02-11,2.698628127716481
SKU0024,2024-02-18,2.698628127716481
SKU0024,2024-02-25,2.698628127716481
SKU0025,2024-01-07,9.342462324801781
SKU0025,2024-01-14,9.428162561140676
SKU0025,2024-01-21,8.761262490104004
SKU0025,2024-01-28,8.687048378400775
SKU0025,2024-02-04,9.258463109145739
SKU0025,2024-02-11,9.258463109145739
SKU0025,2024-02-18,9.792762657949465
SKU0025,2024-02-25,9.258463109145739
SKU0026,2024-01-07,24.747551803750962
SKU0026,2024-01-14,24.456471892882675
SKU0026,2024-01-21,24.438813538248443
SKU0026,2024-01-28,24.546298697459314
SKU0026,2024-02-04,23.36153099939432
SKU0026,2024-02-11,23.128048446471954
SKU0026,2024-02-18,23.00899263923787
SKU0026,2024-02-25,23.09475231443847
SKU0027,2024-01-07,3.9099893630495837
